grouping	metab_deriv_label	dispersion	sample_id	sample_type	sampling_date	sampling_time	sampling_day	site
site	CINAR_BC_62	0.24242128679239242	Metab_275	seawater	20210124	dawn	Day3	Tektite
site	CINAR_BC_36	0.3795291489032581	Metab_231	seawater	20210123	dawn	Day2	Tektite
site	CINAR_BC_65	0.21897790782318702	Metab_277	seawater	20210124	peak_photo	Day3	Tektite
site	CINAR_BC_60	0.17982384464151058	Metab_278	seawater	20210124	dawn	Day3	Tektite
site	CINAR_BC_56	0.43135743693066164	Metab_290	seawater	20210124	dawn	Day3	Tektite
site	CINAR_BC_44	0.2396560375170634	Metab_227	seawater	20210123	peak_photo	Day2	Tektite
site	CINAR_BC_81A	0.18172388601741157	Metab_319	seawater	20210125	dawn	Day4	Tektite
site	CINAR_BC_45	0.15410310340364583	Metab_239	seawater	20210123	peak_photo	Day2	Yawzi
site	CINAR_BC_69	0.31564800029041845	Metab_274	seawater	20210124	peak_photo	Day3	Yawzi
site	CINAR_BC_71	0.20462559034278607	Metab_269	seawater	20210124	peak_photo	Day3	Yawzi
site	CINAR_BC_50	0.15832325603795308	Metab_186	seawater	20210123	peak_photo	Day2	Yawzi
site	CINAR_BC_67	0.33855729406809093	Metab_271	seawater	20210124	peak_photo	Day3	Yawzi
site	CINAR_BC_118	0.26546865982850326	Metab_323	seawater	20210126	peak_photo	Day5	Yawzi
site	CINAR_BC_113	0.24932172178098624	Metab_308	seawater	20210126	peak_photo	Day5	Yawzi
site	CINAR_BC_111	0.1445128733119632	Metab_306	seawater	20210126	dawn	Day5	Yawzi
site	CINAR_BC_102	0.26659168757179635	Metab_327	seawater	20210126	dawn	Day5	Yawzi
site	CINAR_BC_86	0.12797512806484163	Metab_325	seawater	20210125	dawn	Day4	Yawzi
site	CINAR_BC_61	0.16255953741075385	Metab_292	seawater	20210124	dawn	Day3	Yawzi
site	CINAR_BC_39	0.13627254077062875	Metab_228	seawater	20210123	dawn	Day2	Yawzi
site	CINAR_BC_96	0.15608273598754632	Metab_285	seawater	20210125	peak_photo	Day4	Yawzi
site	CINAR_BC_97	0.28479856409145027	Metab_267	seawater	20210125	peak_photo	Day4	Yawzi
site	CINAR_BC_107	0.13529072551275712	Metab_303	seawater	20210126	dawn	Day5	Yawzi
site	CINAR_BC_55	0.15569109832955072	Metab_295	seawater	20210124	dawn	Day3	Yawzi
site	CINAR_BC_91	0.13962479479448914	Metab_276	seawater	20210125	peak_photo	Day4	Yawzi
site	CINAR_BC_78	0.1389470847807404	Metab_225	seawater	20210123	dawn	Day2	Yawzi
site	CINAR_BC_82	0.13218790592304688	Metab_331	seawater	20210125	dawn	Day4	Yawzi
site	CINAR_BC_114	0.15605546254306066	Metab_317	seawater	20210126	peak_photo	Day5	Yawzi
site	CINAR_BC_40	0.1324357492933623	Metab_228	seawater	20210123	dawn	Day2	Yawzi
site	CINAR_BC_46	0.26289851240761797	Metab_230	seawater	20210123	peak_photo	Day2	Yawzi
site	CINAR_BC_80	0.13664826518065615	Metab_313	seawater	20210125	dawn	Day4	Yawzi
site	CINAR_BC_53	0.148385507091423	Metab_284	seawater	20210124	dawn	Day3	Yawzi
site	CINAR_BC_76	0.28573027275116814	Metab_222	seawater	20210123	dawn	Day2	Yawzi
