asv_id	Yawzi_peak_photo - LB_seagrass	dawn (Yawzi - LB_seagrass)	dawn (Tektite - LB_seagrass)	peak_photo (Yawzi - LB_seagrass)	peak_photo (Tektite - LB_seagrass)	LB_seagrass (peak_photo - dawn)	dawn (Yawzi - Tektite)	peak_photo (Yawzi - Tektite)	Yawzi (peak_photo - dawn)	Tektite (peak_photo - dawn)	Yawzi_dawn - LB_seagrass_dawn	Tektite_peak_photo - LB_seagrass	Tektite_dawn - LB_seagrass_dawn	Yawzi_dawn - LB_seagrass	Tektite_dawn - LB_seagrass	Tektite_peak_photo - LB_seagrass_peak_photo	Yawzi_peak_photo - LB_seagrass_peak_photo	test_type	taxonomy	Domain	Phylum	Class	Order	Family	Genus	Species
ASV_00568												deseq						deseq	Bacteroidia;Bacteroidales	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales			
ASV_00570		corncob									deseq			deseq				all	Alphaproteobacteria;Ponticaulis	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Ponticaulis	
ASV_00571											deseq							deseq	Alphaproteobacteria;Rhodobacteraceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
ASV_00572											deseq			deseq				deseq	Alphaproteobacteria;Hyphomonadaceae	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae		
ASV_00575									corncob									corncob	Bacteroidia;Bacteroidales	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales			
ASV_00580													deseq		deseq			deseq	Alphaproteobacteria;Holosporaceae	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae		
ASV_00589																deseq		deseq	Alphaproteobacteria;PS1 clade	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	PS1 clade		
ASV_00600		corncob		corncob	corncob								deseq					all	Bacteroidia;Bacteroidales	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales			
ASV_00614																deseq		deseq	Polyangia;Sandaracinaceae	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae		
ASV_00630	deseq	corncob																all	Clostridia;Clostridium sensu stricto 1	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	butyricum
ASV_00632												deseq				deseq		deseq	Bacteria;Marinimicrobia (SAR406 clade)	Bacteria	Marinimicrobia (SAR406 clade)					
ASV_00644	deseq		corncob														deseq	all	Alphaproteobacteria;Hirschia	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hirschia	
ASV_00650														deseq				deseq	Bacteroidota;Bacteroidia	Bacteria	Bacteroidota	Bacteroidia				
ASV_00661			corncob									deseq						all	Kiritimatiellae;WCHB1-41	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41			
ASV_01107		corncob																corncob	Bacteroidia;Muribaculaceae	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae		
