Source,Target,Type,Weight,estimate
70,328,Undirected,0.5570483869641202,-0.5570483869641202
70,336,Undirected,0.5700507448908012,-0.5700507448908012
70,350,Undirected,0.6343781998964857,-0.6343781998964857
70,329,Undirected,0.6480648924508868,-0.6480648924508868
70,330,Undirected,0.6987056549021704,-0.6987056549021704
70,338,Undirected,0.6439588846845665,-0.6439588846845665
70,359,Undirected,0.6028988070213636,-0.6028988070213636
70,331,Undirected,0.6323251960133256,-0.6323251960133256
70,340,Undirected,0.6282191882470053,-0.6282191882470053
70,339,Undirected,0.6186385034589247,-0.6186385034589247
70,333,Undirected,0.6152168303203245,-0.6152168303203245
70,335,Undirected,0.6364312037796459,-0.6364312037796459
71,346,Undirected,0.5924829802357672,-0.5924829802357672
71,343,Undirected,0.7142857142857143,-0.7142857142857143
72,333,Undirected,0.7707509881422925,0.7707509881422925
73,360,Undirected,0.7472527472527474,-0.7472527472527474
73,362,Undirected,0.5474308300395258,-0.5474308300395258
73,359,Undirected,0.541501976284585,-0.541501976284585
74,329,Undirected,0.579382293557301,-0.579382293557301
75,363,Undirected,0.6845968296381671,-0.6845968296381671
75,328,Undirected,0.6211489926234148,-0.6211489926234148
75,350,Undirected,0.6590044247918805,-0.6590044247918805
75,329,Undirected,0.8141583791724931,-0.8141583791724931
75,330,Undirected,0.7512437172587052,-0.7512437172587052
75,338,Undirected,0.878672566389174,-0.878672566389174
75,331,Undirected,0.700058907566132,-0.700058907566132
75,340,Undirected,0.5646324319211986,-0.5646324319211986
75,339,Undirected,0.6568717243880233,-0.6568717243880233
75,333,Undirected,0.612618191007986,-0.612618191007986
75,335,Undirected,0.7309830634220617,-0.7309830634220617
75,352,Undirected,0.6040873893925571,-0.6040873893925571
75,326,Undirected,0.6891718845974332,-0.6891718845974332
75,356,Undirected,0.5315755756614118,-0.5315755756614118
75,325,Undirected,0.5800945098491634,-0.5800945098491634
76,333,Undirected,0.5762090024342962,0.5762090024342962
77,333,Undirected,0.7608408690760626,0.7608408690760626
78,326,Undirected,0.6035087719298246,-0.6035087719298246
79,329,Undirected,0.6057312252964426,0.6057312252964426
79,330,Undirected,0.5523715415019763,0.5523715415019763
79,331,Undirected,0.5256916996047432,0.5256916996047432
79,333,Undirected,0.6719367588932806,0.6719367588932806
80,329,Undirected,0.7964426877470355,0.7964426877470355
80,330,Undirected,0.6956521739130435,0.6956521739130435
80,338,Undirected,0.5810276679841897,0.5810276679841897
80,333,Undirected,0.6047430830039525,0.6047430830039525
81,329,Undirected,0.6195652173913043,0.6195652173913043
81,333,Undirected,0.5938735177865613,0.5938735177865613
81,332,Undirected,0.575098814229249,0.575098814229249
82,347,Undirected,0.5632411067193676,0.5632411067193676
82,341,Undirected,0.6228119706380577,0.6228119706380577
82,333,Undirected,0.5622529644268774,0.5622529644268774
82,332,Undirected,0.6551383399209486,0.6551383399209486
82,342,Undirected,0.550395256916996,0.550395256916996
83,329,Undirected,0.8527667984189723,0.8527667984189723
83,330,Undirected,0.7598814229249011,0.7598814229249011
83,338,Undirected,0.6373517786561265,0.6373517786561265
83,333,Undirected,0.658102766798419,0.658102766798419
84,334,Undirected,0.6284584980237156,0.6284584980237156
84,333,Undirected,0.7154150197628458,0.7154150197628458
84,332,Undirected,0.6314229249011858,0.6314229249011858
85,329,Undirected,0.5533596837944664,0.5533596837944664
85,331,Undirected,0.5444664031620554,0.5444664031620554
85,333,Undirected,0.5563241106719368,0.5563241106719368
85,332,Undirected,0.5375494071146245,0.5375494071146245
85,344,Undirected,0.5629587803500848,0.5629587803500848
86,329,Undirected,0.66600790513834,0.66600790513834
86,330,Undirected,0.6126482213438735,0.6126482213438735
86,333,Undirected,0.6808300395256917,0.6808300395256917
86,335,Undirected,0.567193675889328,0.567193675889328
87,336,Undirected,0.5756510996005958,-0.5756510996005958
87,350,Undirected,0.6145262387944024,-0.6145262387944024
87,339,Undirected,0.5352807627454891,-0.5352807627454891
87,335,Undirected,0.5352807627454891,-0.5352807627454891
88,346,Undirected,0.582926748736274,-0.582926748736274
89,333,Undirected,0.5346059738903088,0.5346059738903088
90,332,Undirected,0.5474042486536309,0.5474042486536309
91,332,Undirected,0.5416890277344903,0.5416890277344903
92,329,Undirected,0.6562713642838603,0.6562713642838603
92,340,Undirected,0.5583204143907469,0.5583204143907469
92,333,Undirected,0.5521340386080239,0.5521340386080239
92,332,Undirected,0.5969852630327653,0.5969852630327653
93,329,Undirected,0.6343873517786561,0.6343873517786561
93,330,Undirected,0.5691699604743083,0.5691699604743083
93,331,Undirected,0.5652173913043478,0.5652173913043478
93,332,Undirected,0.5513833992094862,0.5513833992094862
94,333,Undirected,0.7009381658079258,0.7009381658079258
95,329,Undirected,0.7150976249936007,0.7150976249936007
95,330,Undirected,0.6320731598941364,0.6320731598941364
95,338,Undirected,0.5525080475071498,0.5525080475071498
95,333,Undirected,0.7338769682899082,0.7338769682899082
95,335,Undirected,0.5258216122966076,0.5258216122966076
95,352,Undirected,0.5628861056445827,0.5628861056445827
96,346,Undirected,0.5454545454545454,-0.5454545454545454
96,347,Undirected,0.5395256916996047,0.5395256916996047
96,341,Undirected,0.6465273856578206,0.6465273856578206
96,342,Undirected,0.591897233201581,0.591897233201581
97,328,Undirected,0.700592885375494,0.700592885375494
97,329,Undirected,0.8853754940711462,0.8853754940711462
97,330,Undirected,0.7895256916996047,0.7895256916996047
97,338,Undirected,0.708498023715415,0.708498023715415
97,331,Undirected,0.5296442687747035,0.5296442687747035
97,340,Undirected,0.5800395256916996,0.5800395256916996
97,333,Undirected,0.66600790513834,0.66600790513834
98,328,Undirected,0.6528193104434163,0.6528193104434163
98,329,Undirected,0.8496542237437797,0.8496542237437797
98,330,Undirected,0.7537095675119442,0.7537095675119442
98,338,Undirected,0.7002970784756647,0.7002970784756647
98,340,Undirected,0.5380813710321491,0.5380813710321491
98,333,Undirected,0.6488628297740622,0.6488628297740622
99,329,Undirected,0.6515399733783802,0.6515399733783802
99,338,Undirected,0.6238148681282364,0.6238148681282364
100,329,Undirected,0.5896062777727316,0.5896062777727316
100,338,Undirected,0.5796382933640633,0.5796382933640633
100,333,Undirected,0.5985774637405331,0.5985774637405331
101,333,Undirected,0.6083269519677574,0.6083269519677574
102,329,Undirected,0.5789470950511618,0.5789470950511618
102,333,Undirected,0.5303593364830382,0.5303593364830382
103,338,Undirected,0.5324077515583542,0.5324077515583542
104,333,Undirected,0.6047430830039525,0.6047430830039525
105,329,Undirected,0.5666240457335584,-0.5666240457335584
105,338,Undirected,0.55639155732302,-0.55639155732302
105,333,Undirected,0.5909262057085868,-0.5909262057085868
106,345,Undirected,0.6928571428571427,0.6928571428571427
106,352,Undirected,0.7470355731225297,-0.7470355731225297
107,329,Undirected,0.5601661477055969,-0.5601661477055969
107,332,Undirected,0.5500730639631538,-0.5500730639631538
108,329,Undirected,0.6541501976284585,0.6541501976284585
108,330,Undirected,0.6403162055335968,0.6403162055335968
108,338,Undirected,0.5938735177865613,0.5938735177865613
108,333,Undirected,0.5276679841897234,0.5276679841897234
109,329,Undirected,0.6026810767175085,0.6026810767175085
109,338,Undirected,0.5948248988087141,0.5948248988087141
109,333,Undirected,0.7508261458547731,0.7508261458547731
109,352,Undirected,0.5925802765490586,0.5925802765490586
110,329,Undirected,0.6047430830039525,0.6047430830039525
110,333,Undirected,0.6353754940711462,0.6353754940711462
111,341,Undirected,0.5787690570299268,0.5787690570299268
111,343,Undirected,0.7087912087912088,-0.7087912087912088
112,346,Undirected,0.6152705895763877,-0.6152705895763877
113,328,Undirected,0.6057312252964426,-0.6057312252964426
113,329,Undirected,0.7984189723320158,-0.7984189723320158
113,330,Undirected,0.6571146245059288,-0.6571146245059288
113,338,Undirected,0.7509881422924901,-0.7509881422924901
113,331,Undirected,0.6037549407114625,-0.6037549407114625
113,333,Undirected,0.700592885375494,-0.700592885375494
114,353,Undirected,0.5488363714314796,-0.5488363714314796
114,355,Undirected,0.5659447371244809,-0.5659447371244809
115,329,Undirected,0.5562176541114333,0.5562176541114333
115,338,Undirected,0.5314528431536669,0.5314528431536669
115,331,Undirected,0.5903930932331509,0.5903930932331509
