label	NMDS1	NMDS2	type	sample_type	sampling_date	sampling_time	sampling_day	site	replicate	text_label
ASV_00079	0.16679000912157552	0.03558666777192211	species	NA	NA	NA	NA	NA	NA	NA
ASV_00080	0.1130679752637697	0.021101135931805595	species	NA	NA	NA	NA	NA	NA	NA
ASV_00082	0.3348157873877723	0.0012569690791197393	species	NA	NA	NA	NA	NA	NA	NA
ASV_00083	0.2813595264548192	-0.002400142118119977	species	NA	NA	NA	NA	NA	NA	NA
ASV_00084	-0.11018840474998902	-0.04440208307661455	species	NA	NA	NA	NA	NA	NA	NA
ASV_00085	0.3314111410091611	0.031156623193415528	species	NA	NA	NA	NA	NA	NA	NA
ASV_00086	0.2157722424924491	0.04779493868284695	species	NA	NA	NA	NA	NA	NA	NA
ASV_00087	-0.16381076332263436	0.03137839502497427	species	NA	NA	NA	NA	NA	NA	NA
ASV_00088	0.1884144166539537	0.06533777381130944	species	NA	NA	NA	NA	NA	NA	NA
ASV_00089	-0.8439606395583723	0.14964085965811338	species	NA	NA	NA	NA	NA	NA	NA
ASV_00091	0.3711371516396705	0.0424880148010141	species	NA	NA	NA	NA	NA	NA	NA
ASV_00092	-0.013090151932720659	0.04420581704562954	species	NA	NA	NA	NA	NA	NA	NA
ASV_00093	0.19133949664677144	-0.013505497689660717	species	NA	NA	NA	NA	NA	NA	NA
ASV_00094	-0.16590932058574628	-0.03060978568418744	species	NA	NA	NA	NA	NA	NA	NA
ASV_00095	-0.711502737418225	0.10901227283699605	species	NA	NA	NA	NA	NA	NA	NA
ASV_00096	0.2022498199235114	0.008188783780579741	species	NA	NA	NA	NA	NA	NA	NA
ASV_00097	-0.38157339491844594	-0.010242930259605385	species	NA	NA	NA	NA	NA	NA	NA
ASV_00098	0.3086836974460926	-0.04202185387637782	species	NA	NA	NA	NA	NA	NA	NA
ASV_00099	0.04829492222370668	-0.023540907411705413	species	NA	NA	NA	NA	NA	NA	NA
ASV_00100	0.30199971353197175	-0.00467160197670363	species	NA	NA	NA	NA	NA	NA	NA
ASV_00101	-0.39504373878336363	0.023754699497359935	species	NA	NA	NA	NA	NA	NA	NA
ASV_00102	0.28411614511729333	0.05028343816582853	species	NA	NA	NA	NA	NA	NA	NA
ASV_00103	0.17003294894601978	0.01740615976836374	species	NA	NA	NA	NA	NA	NA	NA
ASV_00104	-0.13780401799845401	0.00937935570082129	species	NA	NA	NA	NA	NA	NA	NA
ASV_00105	-0.7751610099329326	0.19127460464524576	species	NA	NA	NA	NA	NA	NA	NA
ASV_00107	-0.12718266505473075	0.020058534164447417	species	NA	NA	NA	NA	NA	NA	NA
ASV_00108	-0.09024613892301815	-0.3855770798114028	species	NA	NA	NA	NA	NA	NA	NA
ASV_00109	0.2756711436041297	0.018063390203044767	species	NA	NA	NA	NA	NA	NA	NA
ASV_00110	0.30393632610902965	0.032196498846222936	species	NA	NA	NA	NA	NA	NA	NA
ASV_00111	-0.6865054946595709	0.188511659528942	species	NA	NA	NA	NA	NA	NA	NA
ASV_00112	-0.8377322922024267	0.12168417669840487	species	NA	NA	NA	NA	NA	NA	NA
ASV_00113	0.3221815190486351	0.041279932575795986	species	NA	NA	NA	NA	NA	NA	NA
ASV_00114	0.11427501080828491	-0.008747787165509748	species	NA	NA	NA	NA	NA	NA	NA
ASV_00115	-0.09960836485962223	-0.010873015174610806	species	NA	NA	NA	NA	NA	NA	NA
ASV_00116	0.1835955695412159	0.06586244456219749	species	NA	NA	NA	NA	NA	NA	NA
ASV_00117	0.04172960786363509	0.02739757730916953	species	NA	NA	NA	NA	NA	NA	NA
ASV_00118	-0.060200510727015655	-0.0352475357579659	species	NA	NA	NA	NA	NA	NA	NA
ASV_00119	0.16452877283268444	-0.015082065802252824	species	NA	NA	NA	NA	NA	NA	NA
ASV_00120	0.19445374300141574	0.008936793297167024	species	NA	NA	NA	NA	NA	NA	NA
