contrast	asv_id	estimate	pval	group	site	commonid	test_type	model	sampling_time	Combo	baseline	baseMean	padj	log2FoldChange_MMSE	pair1	pair2	hold	variable	p_fdr
Yawzi - LB_seagrass_all	ASV_00124	31.193404961946857	2.3355820475539715e-8	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00129	39.95130792937129	2.60373166098972e-10	high_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00129	38.547427080036385	5.343917131453366e-10	high_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00131	25.7989329110802	3.788978926093762e-7	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00131	23.891972167942534	1.0189579355514452e-6	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00138	19.43470249670126	1.0409827230043446e-5	high_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00138	18.537060545488284	1.6663256689468857e-5	high_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00150	21.685195895654022	3.2126101320617558e-6	high_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00150	25.348709790434672	4.784723098259979e-7	high_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00171	19.502086684691662	1.0048984767562594e-5	high_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00171	16.359979580035976	5.237962316783117e-5	high_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00186	7.684680501447941	0.005569153858499381	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00186	8.93857322575998	0.0027921072842487815	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00215	34.27915122161699	4.774695109988302e-9	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00215	32.95500848863061	9.431645462546096e-9	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00227	16.538836492114253	4.766376218510214e-5	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00227	15.787095861457988	7.088431707850508e-5	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00243	27.1755996298466	1.857887320074716e-7	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00243	24.815339896886186	6.309336139280753e-7	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00251	20.526930810565872	5.879814360798657e-6	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00251	20.302130234454513	6.612691948064585e-6	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00271	23.284965607884644	1.39687659249621e-6	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00271	29.624578644211386	5.243581277164333e-8	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00282	31.088610126426328	2.465136627953728e-8	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00282	29.09935311491493	6.875993953522947e-8	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00300	16.601062063276547	4.612518452686532e-5	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00300	16.434898818731195	5.0349672432655634e-5	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00339	16.66061171471055	4.469954398256531e-5	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00339	17.411024363815578	3.0107466903835217e-5	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00348	13.474655071788717	2.4180763895219153e-4	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00348	13.447917353577797	2.452783122627923e-4	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00389	21.840140725279557	2.96335335455671e-6	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00389	20.302154266257897	6.61260889200564e-6	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
Tektite - LB_seagrass_all	ASV_00399	25.990237159303	3.431482600327004e-7	low_reef	Tektite	reef	rademu	auto_fit	all	Tektite	LB_seagrass_all				Tektite	LB_seagrass_all			
Yawzi - LB_seagrass_all	ASV_00399	26.32076116300277	2.8916350518467874e-7	low_reef	Yawzi	reef	rademu	auto_fit	all	Yawzi	LB_seagrass_all				Yawzi	LB_seagrass_all			
