grouping	sample_id	dispersion	metab_deriv_label	sample_type	sampling_date	sampling_time	sampling_day	site
site	Metab_222	0.2557916458742177	CINAR_BC_76	seawater	20210123	dawn	Day2	Yawzi
site	Metab_225	0.18996852038366638	CINAR_BC_78	seawater	20210123	dawn	Day2	Yawzi
site	Metab_228	0.21502739374043844	CINAR_BC_38	seawater	20210123	dawn	Day2	Yawzi
site	Metab_230	0.21159624929726809	CINAR_BC_46	seawater	20210123	peak_photo	Day2	Yawzi
site	Metab_239	0.19839148096040482	CINAR_BC_45	seawater	20210123	peak_photo	Day2	Yawzi
site	Metab_267	0.19810947301634585	CINAR_BC_97	seawater	20210125	peak_photo	Day4	Yawzi
site	Metab_269	0.19294539469878227	CINAR_BC_71	seawater	20210124	peak_photo	Day3	Yawzi
site	Metab_271	0.19290976658858588	CINAR_BC_67	seawater	20210124	peak_photo	Day3	Yawzi
site	Metab_274	0.19206456232605462	CINAR_BC_69	seawater	20210124	peak_photo	Day3	Yawzi
site	Metab_276	0.19196742951562668	CINAR_BC_91	seawater	20210125	peak_photo	Day4	Yawzi
site	Metab_284	0.21454405705052967	CINAR_BC_53	seawater	20210124	dawn	Day3	Yawzi
site	Metab_285	0.1972875531472069	CINAR_BC_96	seawater	20210125	peak_photo	Day4	Yawzi
site	Metab_292	0.20378054906553217	CINAR_BC_61	seawater	20210124	dawn	Day3	Yawzi
site	Metab_295	0.19950998558193625	CINAR_BC_55	seawater	20210124	dawn	Day3	Yawzi
site	Metab_303	0.19458561415855632	CINAR_BC_107	seawater	20210126	dawn	Day5	Yawzi
site	Metab_306	0.18629677758127114	CINAR_BC_111	seawater	20210126	dawn	Day5	Yawzi
site	Metab_308	0.21000006028621496	CINAR_BC_113	seawater	20210126	peak_photo	Day5	Yawzi
site	Metab_313	0.19187752209389486	CINAR_BC_80	seawater	20210125	dawn	Day4	Yawzi
site	Metab_317	0.19586401702199224	CINAR_BC_114	seawater	20210126	peak_photo	Day5	Yawzi
site	Metab_323	0.19149437991924445	CINAR_BC_118	seawater	20210126	peak_photo	Day5	Yawzi
site	Metab_325	0.21218542958056424	CINAR_BC_86	seawater	20210125	dawn	Day4	Yawzi
site	Metab_327	0.18735919159352743	CINAR_BC_102	seawater	20210126	dawn	Day5	Yawzi
site	Metab_331	0.20235803043610903	CINAR_BC_82	seawater	20210125	dawn	Day4	Yawzi
site	Metab_224	0.22077207137752583	CINAR_BC_42	seawater	20210123	peak_photo	Day2	Tektite
site	Metab_227	0.19425587782644918	CINAR_BC_44	seawater	20210123	peak_photo	Day2	Tektite
site	Metab_231	0.191226377494457	CINAR_BC_36	seawater	20210123	dawn	Day2	Tektite
site	Metab_234	0.18796966047788782	CINAR_BC_77	seawater	20210123	dawn	Day2	Tektite
site	Metab_236	0.19378967293466748	CINAR_BC_43	seawater	20210123	peak_photo	Day2	Tektite
site	Metab_241	0.26782894408597424	CINAR_BC_79	seawater	20210123	dawn	Day2	Tektite
site	Metab_261	0.20199782899463942	CINAR_BC_93	seawater	20210125	peak_photo	Day4	Tektite
site	Metab_264	0.17900251235739403	CINAR_BC_90	seawater	20210125	peak_photo	Day4	Tektite
site	Metab_266	0.21265555845432974	CINAR_BC_72	seawater	20210124	peak_photo	Day3	Tektite
site	Metab_270	0.17927981986818625	CINAR_BC_98	seawater	20210125	peak_photo	Day4	Tektite
site	Metab_275	0.18661073345214832	CINAR_BC_62	seawater	20210124	dawn	Day3	Tektite
site	Metab_277	0.1890114354598541	CINAR_BC_64	seawater	20210124	peak_photo	Day3	Tektite
site	Metab_278	0.19166293857748318	CINAR_BC_58	seawater	20210124	dawn	Day3	Tektite
site	Metab_283	0.19017333985009713	CINAR_BC_68	seawater	20210124	peak_photo	Day3	Tektite
site	Metab_290	0.19802233375777734	CINAR_BC_56	seawater	20210124	dawn	Day3	Tektite
site	Metab_311	0.2642468576836694	CINAR_BC_115	seawater	20210126	peak_photo	Day5	Tektite
site	Metab_312	0.18569774752919824	CINAR_BC_101	seawater	20210126	dawn	Day5	Tektite
site	Metab_314	0.2142630033251524	CINAR_BC_116	seawater	20210126	peak_photo	Day5	Tektite
site	Metab_315	0.18552785582456252	CINAR_BC_108	seawater	20210126	dawn	Day5	Tektite
site	Metab_316	0.19459203790465582	CINAR_BC_84	seawater	20210125	dawn	Day4	Tektite
site	Metab_319	0.211643421119954	CINAR_BC_81A	seawater	20210125	dawn	Day4	Tektite
site	Metab_320	0.19506551526055946	CINAR_BC_112	seawater	20210126	peak_photo	Day5	Tektite
site	Metab_321	0.1863151901608227	CINAR_BC_104	seawater	20210126	dawn	Day5	Tektite
site	Metab_322	0.1951626230685909	CINAR_BC_75	seawater	20210125	dawn	Day4	Tektite
