set_label	metab_deriv_label	dispersion	sample_id	sample_type	sampling_date	sampling_time	sampling_day	site	grouping
Tektite.daily	CINAR_BC_68	0.21640181644467726	Metab_283	seawater	20210124	peak_photo	Day3	Tektite	site
Tektite.daily	CINAR_BC_66	0.2579076554527153	Metab_277	seawater	20210124	peak_photo	Day3	Tektite	site
Tektite.daily	CINAR_BC_116	0.2192774969214592	Metab_314	seawater	20210126	peak_photo	Day5	Tektite	site
Tektite.daily	CINAR_BC_115	0.213446336434475	Metab_311	seawater	20210126	peak_photo	Day5	Tektite	site
Tektite.daily	CINAR_BC_112	0.28180342329730107	Metab_320	seawater	20210126	peak_photo	Day5	Tektite	site
Tektite.daily	CINAR_BC_65	0.26099691936159597	Metab_277	seawater	20210124	peak_photo	Day3	Tektite	site
Tektite.daily	CINAR_BC_44	0.28324963024024685	Metab_227	seawater	20210123	peak_photo	Day2	Tektite	site
LB_seagrass.dawn	CINAR_BC_85	0.07355445842506042	Metab_337	seawater	20210125	dawn	Day4	LB_seagrass	site.time
LB_seagrass.dawn	CINAR_BC_88	0.0781460538656506	Metab_328	seawater	20210125	dawn	Day4	LB_seagrass	site.time
LB_seagrass.dawn	CINAR_BC_103	0.0793171483430159	Metab_324	seawater	20210126	dawn	Day5	LB_seagrass	site.time
LB_seagrass.dawn	CINAR_BC_63	0.10007303033175373	Metab_281	seawater	20210124	dawn	Day3	LB_seagrass	site.time
LB_seagrass.dawn	CINAR_BC_83	0.07895633687116478	Metab_334	seawater	20210125	dawn	Day4	LB_seagrass	site.time
LB_seagrass.dawn	CINAR_BC_109	0.2095022593408019	Metab_309	seawater	20210126	dawn	Day5	LB_seagrass	site.time
LB_seagrass.dawn	CINAR_BC_37	0.05529983321782877	Metab_237	seawater	20210123	dawn	Day2	LB_seagrass	site.time
LB_seagrass.dawn	CINAR_BC_41	0.06629750508545139	Metab_240	seawater	20210123	dawn	Day2	LB_seagrass	site.time
LB_seagrass.dawn	CINAR_BC_81B	0.08450401420385026	Metab_219	seawater	20210123	dawn	Day2	LB_seagrass	site.time
LB_seagrass.dawn	CINAR_BC_110	0.1585964526948923	Metab_318	seawater	20210126	dawn	Day5	LB_seagrass	site.time
LB_seagrass.dawn	CINAR_BC_57	0.07560082556791878	Metab_272	seawater	20210124	dawn	Day3	LB_seagrass	site.time
LB_seagrass.dawn	CINAR_BC_54	0.05770911089273694	Metab_287	seawater	20210124	dawn	Day3	LB_seagrass	site.time
LB_seagrass.peak_photo	CINAR_BC_100	0.10450844973855704	Metab_282	seawater	20210125	peak_photo	Day4	LB_seagrass	site.time
LB_seagrass.peak_photo	CINAR_BC_99	0.09055083673548057	Metab_273	seawater	20210125	peak_photo	Day4	LB_seagrass	site.time
LB_seagrass.peak_photo	CINAR_BC_70	0.0490241697729226	Metab_286	seawater	20210124	peak_photo	Day3	LB_seagrass	site.time
LB_seagrass.peak_photo	CINAR_BC_52	0.05766670838412473	Metab_189	seawater	20210123	peak_photo	Day2	LB_seagrass	site.time
LB_seagrass.peak_photo	CINAR_BC_95	0.11825123079991248	Metab_279	seawater	20210125	peak_photo	Day4	LB_seagrass	site.time
LB_seagrass.peak_photo	CINAR_BC_119	0.08975417734425374	Metab_329	seawater	20210126	peak_photo	Day5	LB_seagrass	site.time
LB_seagrass.peak_photo	CINAR_BC_49	0.0721568553038957	Metab_233	seawater	20210123	peak_photo	Day2	LB_seagrass	site.time
LB_seagrass.peak_photo	CINAR_BC_117	0.18648261305754338	Metab_326	seawater	20210126	peak_photo	Day5	LB_seagrass	site.time
LB_seagrass.peak_photo	CINAR_BC_74	0.09915472447272725	Metab_289	seawater	20210124	peak_photo	Day3	LB_seagrass	site.time
LB_seagrass.peak_photo	CINAR_BC_48	0.06691028853372151	Metab_183	seawater	20210123	peak_photo	Day2	LB_seagrass	site.time
LB_seagrass.peak_photo	CINAR_BC_120	0.10097348927831404	Metab_332	seawater	20210126	peak_photo	Day5	LB_seagrass	site.time
Yawzi.dawn	CINAR_BC_111	0.08322010097507325	Metab_306	seawater	20210126	dawn	Day5	Yawzi	site.time
Yawzi.dawn	CINAR_BC_102	0.24375661488662548	Metab_327	seawater	20210126	dawn	Day5	Yawzi	site.time
Yawzi.dawn	CINAR_BC_86	0.051279772354613236	Metab_325	seawater	20210125	dawn	Day4	Yawzi	site.time
Yawzi.dawn	CINAR_BC_61	0.10678885802265305	Metab_292	seawater	20210124	dawn	Day3	Yawzi	site.time
Yawzi.dawn	CINAR_BC_39	0.07012432720028818	Metab_228	seawater	20210123	dawn	Day2	Yawzi	site.time
Yawzi.dawn	CINAR_BC_107	0.06561370534378187	Metab_303	seawater	20210126	dawn	Day5	Yawzi	site.time
Yawzi.dawn	CINAR_BC_55	0.09626957781414401	Metab_295	seawater	20210124	dawn	Day3	Yawzi	site.time
Yawzi.dawn	CINAR_BC_78	0.07715084543820325	Metab_225	seawater	20210123	dawn	Day2	Yawzi	site.time
Yawzi.dawn	CINAR_BC_82	0.0600190643729147	Metab_331	seawater	20210125	dawn	Day4	Yawzi	site.time
Yawzi.dawn	CINAR_BC_40	0.05992060446284991	Metab_228	seawater	20210123	dawn	Day2	Yawzi	site.time
Yawzi.dawn	CINAR_BC_80	0.07187882372862142	Metab_313	seawater	20210125	dawn	Day4	Yawzi	site.time
Yawzi.dawn	CINAR_BC_53	0.08592427440211907	Metab_284	seawater	20210124	dawn	Day3	Yawzi	site.time
